network,direction,edge_id,road_name
"bgc_full","entry","1078301743","32nd Street"
"bgc_full","entry","1288465618#1","Lawton Avenue"
"bgc_full","entry","1314651743","3rd Avenue"
"bgc_full","entry","204841599","Kalayaan Avenue"
"bgc_full","entry","238981586","Carlos P. Garcia Avenue"
"bgc_full","entry","27494642","Kalayaan Avenue"
"bgc_full","entry","28535718","Dapitan Street"
"bgc_full","entry","425382118#0","5th Avenue"
"bgc_full","entry","758946647","Carlos P. Garcia Avenue"
"bgc_full","entry","842050932","Lawton Avenue"
"bgc_full","entry","984799393","Carlos P. Garcia Avenue"
"bgc_full","exit","1067255038","Carlos P. Garcia Avenue"
"bgc_full","exit","126310262","Kalayaan Avenue"
"bgc_full","exit","1302514926","20th Avenue"
"bgc_full","exit","1382245206#8","Cadena de Amor Street"
"bgc_full","exit","27494654","Kalayaan Avenue"
"bgc_full","exit","28539493#1","Luzon Street"
"bgc_full","exit","28995157","14th Avenue"
"bgc_full","exit","35491535#1","Carlos P. Garcia Avenue"
"bgc_full","exit","4940269#4","32nd Street"
"bgc_full","exit","743811527#1","5th Avenue"
"bgc_full","exit","911413467","Carlos P. Garcia Avenue"
"bgc_full","exit","940882672","Narra Street"
"bgc_core","entry","319060501#1","Lane Q"
"bgc_core","entry","32836570#1","Lane Q"
"bgc_core","entry","744632165#1","9th Avenue"
"bgc_core","entry","747951014#0","32nd Street"
"bgc_core","exit","32488019#2","30th Street"
"bgc_core","exit","32836569#1","Lane D"
"bgc_core","exit","744632163#1","Lane Q"
"bgc_core","exit","744634701#1","31st Street"
"bgc_core","exit","744645402#1","32nd Street"
